"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 09:46:41 EDT 2023","Thu May 18 09:46:43 EDT 2023","2124","webkit","","","","","Example API call from Helper Class to print order",""
"passed","Thu May 18 09:46:19 EDT 2023","Thu May 18 09:46:26 EDT 2023","7637","chromium","","","","","Sample POM Test with Invalid Login user amad0@gmail.com",""
"passed","Thu May 18 09:46:41 EDT 2023","Thu May 18 09:46:59 EDT 2023","18257","webkit","","","","","Sample POM Test with Invalid Login user goer@gmail.com",""
"passed","Thu May 18 09:46:37 EDT 2023","Thu May 18 09:46:41 EDT 2023","3650","webkit","","","","","Example API test call from test claass",""
"passed","Thu May 18 09:46:29 EDT 2023","Thu May 18 09:46:39 EDT 2023","10018","firefox","","","","","Sample POM Test with Invalid Login user amad0@gmail.com",""
"passed","Thu May 18 09:46:42 EDT 2023","Thu May 18 09:46:59 EDT 2023","17198","webkit","","","","","Sample POM Test with Valid Login",""
"passed","Thu May 18 09:46:28 EDT 2023","Thu May 18 09:46:39 EDT 2023","11053","firefox","","","","","Sample POM Test with Valid Login",""
"passed","Thu May 18 09:46:26 EDT 2023","Thu May 18 09:46:28 EDT 2023","2455","firefox","","","","","Example API call from Helper Class to print order",""
"passed","Thu May 18 09:46:13 EDT 2023","Thu May 18 09:46:16 EDT 2023","2450","chromium","","","","","Example API call from Helper Class to print order",""
"passed","Thu May 18 09:46:41 EDT 2023","Thu May 18 09:46:53 EDT 2023","11545","webkit","","","","","Sample Test",""
"passed","Thu May 18 09:46:16 EDT 2023","Thu May 18 09:46:24 EDT 2023","8346","chromium","","","","","Sample POM Test with Invalid Login user goer@gmail.com",""
"passed","Thu May 18 09:46:13 EDT 2023","Thu May 18 09:46:24 EDT 2023","10251","chromium","","","","","Sample Test",""
"passed","Thu May 18 09:46:13 EDT 2023","Thu May 18 09:46:24 EDT 2023","10686","chromium","","","","","Sample POM Test with Valid Login",""
"passed","Thu May 18 09:46:28 EDT 2023","Thu May 18 09:46:39 EDT 2023","10376","firefox","","","","","Sample POM Test with Invalid Login user goer@gmail.com",""
"passed","Thu May 18 09:46:43 EDT 2023","Thu May 18 09:46:59 EDT 2023","16232","webkit","","","","","Sample POM Test with Invalid Login user amad0@gmail.com",""
"passed","Thu May 18 09:46:13 EDT 2023","Thu May 18 09:46:19 EDT 2023","5436","chromium","","","","","Example API test call from test claass",""
"passed","Thu May 18 09:46:26 EDT 2023","Thu May 18 09:46:36 EDT 2023","9751","firefox","","","","","Sample Test",""
"passed","Thu May 18 09:46:25 EDT 2023","Thu May 18 09:46:29 EDT 2023","3927","firefox","","","","","Example API test call from test claass",""
